Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,19171.122,230053.46,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Increased_Cost Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,2336.85,28042.20,USD,Number of NAT Gateways (1)
Increased_Cost Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,"DT Inbound: Internet (50 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
Increased_Cost Estimate,US East (N. Virginia),,Amazon EC2 ,0,6828.712,81944.54,USD,"Tenancy (Shared Instances), Operating system (Linux), DT Inbound: All other regions (50 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 4), Snapshot Frequency (No snapshot storage), Enable monitoring (disabled), Advance EC2 instance (r6g.metal), Pricing strategy (Compute Savings Plans 1 Year  None upfront)"
Increased_Cost Estimate,US East (N. Virginia),,S3 Standard,0,706.56,8478.72,USD,S3 Standard storage (30 TB per month)
Increased_Cost Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,
Increased_Cost Estimate,US East (N. Virginia),,Amazon RDS for MariaDB,0,8428.6,101143.20,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (200 GB), Quantity (2), Instance type (db.m5.8xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment selection (Multi-AZ), Pricing strategy (OnDemand)"
Increased_Cost Estimate,US East (N. Virginia),,Amazon CloudFront,0,870.4,10444.80,USD,Data transfer out to internet (10 TB per month)



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
