Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,8203.300000000001,98439.60,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Initial_Cost_Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,493.65,5923.80,USD,Number of NAT Gateways (1)
Initial_Cost_Estimate,US East (N. Virginia),,Data Transfer,0,10,120.00,USD,"DT Inbound: Internet (10 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (500 GB per month), Data transfer cost (10)"
Initial_Cost_Estimate,US East (N. Virginia),,Gateway Load Balancer,0,573.05,6876.60,USD,"Number of Availability Zones that Gateway Load Balancer is deployed to (2), Number of Gateway Load Balancer Endpoints (1), Total processed bytes (100 GB per hour), Average number of new connections/flows (100 per second), Average connection/flow duration (100 seconds)"
Initial_Cost_Estimate,US East (N. Virginia),,Amazon EC2 ,0,2940.44,35285.28,USD,"Tenancy (Shared Instances), Operating system (Linux), DT Inbound: Internet (10 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 4), Enable monitoring (disabled), Advance EC2 instance (m5a.8xlarge), Pricing strategy ( 1 Year  None upfront), Snapshot Frequency (No snapshot storage)"
Initial_Cost_Estimate,US East (N. Virginia),,S3 Standard,0,760.56,9126.72,USD,S3 Standard storage (30 TB per month)
Initial_Cost_Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,"DT Inbound: Internet (10 TB per month), DT Outbound: Amazon CloudFront (10 TB per month)"
Initial_Cost_Estimate,US East (N. Virginia),,Amazon RDS for MariaDB,0,2340.4,28084.80,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (200 GB), Quantity (2), Instance type (db.m3.2xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment selection (Multi-AZ), Pricing strategy (OnDemand)"
Initial_Cost_Estimate,US East (N. Virginia),,Amazon CloudFront,0,1085.2,13022.40,USD,"Data transfer out to internet (10 TB per month), Data transfer out to origin (10 TB per month), Number of requests (HTTPS) (10 million per month)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
