Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,5998.700000000001,71984.40,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Reduced_Cost_Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,493.65,5923.80,USD,Number of NAT Gateways (1)
Reduced_Cost_Estimate,US East (N. Virginia),,Data Transfer,0,10,120.00,USD,"DT Inbound: Internet (10 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (500 GB per month), Data transfer cost (10)"
Reduced_Cost_Estimate,US East (N. Virginia),,Gateway Load Balancer,0,573.05,6876.60,USD,"Number of Availability Zones that Gateway Load Balancer is deployed to (2), Number of Gateway Load Balancer Endpoints (1), Total processed bytes (100 GB per hour), Average number of new connections/flows (100 per second), Average connection/flow duration (100 seconds)"
Reduced_Cost_Estimate,US East (N. Virginia),,Amazon EC2 ,0,1918.44,23021.28,USD,"Tenancy (Shared Instances), Operating system (Linux), DT Inbound: Internet (10 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 4), Enable monitoring (disabled), Advance EC2 instance (r5a.4xlarge), Pricing strategy ( 1 Year  None upfront), Snapshot Frequency (No snapshot storage)"
Reduced_Cost_Estimate,US East (N. Virginia),,S3 Standard,0,760.56,9126.72,USD,S3 Standard storage (30 TB per month)
Reduced_Cost_Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,"DT Inbound: Internet (10 TB per month), DT Outbound: Amazon CloudFront (10 TB per month)"
Reduced_Cost_Estimate,US East (N. Virginia),,Amazon RDS for MariaDB,0,1157.8,13893.60,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (200 GB), Quantity (2), Instance type (db.m4.xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment selection (Multi-AZ), Pricing strategy (OnDemand)"
Reduced_Cost_Estimate,US East (N. Virginia),,Amazon CloudFront,0,1085.2,13022.40,USD,"Data transfer out to internet (10 TB per month), Data transfer out to origin (10 TB per month), Number of requests (HTTPS) (10 million per month)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
